"trait","pop","min_value","mean_value","max_value"
"CL-blue",1,96.97,131.5448936170213,167.38
"CL-blue",2,91.68,135.2830459770115,162.71
"CL-blue",3,108.58,139.63970930232566,180.74
"CL-blue",4,98.74,124.98444444444438,155.72
"CL-blue",5,91.34,124.01380116959065,155.28
"CL-blue",6,96.03,126.17776470588234,154.88
"CL-blue",7,107.18,132.17750000000004,175.11
"CL-blue",8,96.9,123.64857142857144,161.32
"CL-blue",9,99.13,131.4180113636363,178.67
"CL-blue",10,97.74,127.55728813559325,163.08
"CL-blue",11,91.09,116.84628415300541,147.22
"CL-blue",12,100.59,133.04055555555558,168.53
"CL-blue",13,94.25,129.4111764705882,177.33
"CL-blue",14,104.33,133.7050802139036,167.29
"CL-blue",15,90.01,129.66879310344834,164.87
"CL-blue",16,92.67,131.2898918918918,166.37
"CL-blue",18,99.09,127.90494444444444,155.37
"CL-blue",19,101.96,131.06872928176793,158.73
"CL-blue",20,91.75,120.7428977272727,148.54
"CL-blue",21,101.4,133.89029585798818,171.26
"CL-blue",22,105.54,138.80558011049723,166.7
"CL-blue",23,103.9,136.02475609756092,170.37
"CL-blue",24,92.55,118.44831395348838,148.21
"CL-blue",25,87.05,124.69180232558138,165.86
"CL-blue",26,79.01,117.31202453987733,156.89
"SL-blue",1,5.085,9.275492307692303,13.91
"SL-blue",2,4.555,9.231192893401019,12.81
"SL-blue",3,3.75,7.939393939393938,10.34
"SL-blue",4,5.49,8.861736040609134,14.78
"SL-blue",5,4.387,7.545461538461541,12.19
"SL-blue",6,6.481,8.225894736842104,12.01
"SL-blue",7,5.641,9.287666666666668,12.72
"SL-blue",8,4.307,8.433563451776651,12.64
"SL-blue",9,4.905,9.18200520833333,14.62
"SL-blue",10,5.022,8.614594871794871,13.85
"SL-blue",11,4.826,9.644204188481675,12.99
"SL-blue",12,5.427,9.760020202020202,13.46
"SL-blue",13,4.726,8.674702702702703,11.86
"SL-blue",15,4.609,8.96081818181818,13.37
"SL-blue",16,4.973,9.74940449438202,17.16
"SL-blue",18,3.561,8.953382513661204,14.62
"SL-blue",19,6.758,9.726725000000002,12.16
"SL-blue",21,4.367,8.588309644670057,14.2
"SL-blue",22,6.121,8.711499999999997,11.62
"SL-blue",24,2.992,8.381385620915031,15.84
"SL-blue",25,5.578,8.889274999999998,11.78
"SL-blue",26,5.068,8.671194444444446,11.4
"KRN-blue",1,9.505,13.714747422680368,20.1
"KRN-blue",2,7.219,14.414706185567008,20.12
"KRN-blue",3,10.57,13.534285714285708,16.57
"KRN-blue",4,9.207,14.974069892473128,20.54
"KRN-blue",5,10.29,13.580000000000007,17.29
"KRN-blue",6,9.693,14.158657142857138,17.59
"KRN-blue",7,10.05,13.931578947368427,17.05
"KRN-blue",8,7.102,13.449492307692282,19.35
"KRN-blue",9,7.762,13.235262032085561,19.05
"KRN-blue",10,9.367,12.92637593984961,19.62
"KRN-blue",11,10.12,13.357486338797816,21.8
"KRN-blue",12,9.664,13.975177083333342,19.26
"KRN-blue",13,10.82,12.852258064516125,15.82
"KRN-blue",15,8.235,13.347256410256394,18.98
"KRN-blue",16,3.469,13.673410714285719,18.31
"KRN-blue",18,10.02,14.843081395348847,19.32
"KRN-blue",19,11.71,15.184999999999999,19.71
"KRN-blue",21,9.447,13.917156565656544,22.2
"KRN-blue",22,11.38,14.713333333333331,20.38
"KRN-blue",24,8.14,13.928372413793104,19.48
"KRN-blue",25,9.923,13.682575000000003,17.17
"KRN-blue",26,9.38,13.554999999999994,19.38
